match_id,date,matchweek,home_team,away_team,home_possession_pct,away_possession_pct,home_team_xg_for_season,away_team_xg_for_season,home_team_shots_pg,away_team_shots_pg,home_team_shots_conceded_pg,away_team_shots_conceded_pg,home_team_sot_conceded_pg,away_team_sot_conceded_pg,home_team_deep_completions_pg,away_team_deep_completions_pg,match_importance_home,match_importance_away,home_goals_needed_aggregate,away_goals_needed_aggregate,game_state_context,weather_condition,pitch_quality,referee_id,avg_fouls_this_ref,home_rest_days,away_rest_days
BT_M01_1,2023-08-05,1,TeamA,TeamB,58,42,1.78,1.42,16.5,13.5,9.5,12.5,3.4,4.2,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF02,22.0,7,7
BT_M01_2,2023-08-05,1,TeamC,TeamD,54,46,1.58,1.02,13.5,9.5,11.5,16.0,4.0,5.5,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF02,22.0,7,7
BT_M02_1,2023-08-12,2,TeamB,TeamA,53,47,1.72,1.48,16.0,14.0,10.0,11.5,3.6,4.0,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF03,23.0,7,7
BT_M02_2,2023-08-12,2,TeamD,TeamC,44,56,1.32,1.28,11.0,11.5,14.5,13.0,5.0,4.6,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF03,23.0,7,7
BT_M03_1,2023-08-19,3,TeamA,TeamC,60,40,1.78,1.28,16.5,11.5,9.5,13.0,3.4,4.6,9.0,7.0,must_win_top4,neutral,0,0,open,clear,good,REF04,24.0,7,4
BT_M03_2,2023-08-19,3,TeamB,TeamD,60,40,1.72,1.02,16.0,9.5,10.0,16.0,3.6,5.5,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF04,24.0,7,7
BT_M04_1,2023-08-26,4,TeamC,TeamA,46,54,1.58,1.48,13.5,14.0,11.5,11.5,4.0,4.0,9.0,7.0,neutral,must_win_top4,0,0,open,clear,good,REF01,25.0,4,7
BT_M04_2,2023-08-26,4,TeamD,TeamB,41,59,1.32,1.42,11.0,13.5,14.5,12.5,5.0,4.2,9.0,7.0,neutral,must_win_relegation,0,0,open,clear,good,REF01,25.0,4,7
BT_M05_1,2023-09-05,5,TeamA,TeamD,62,38,1.78,1.02,16.5,9.5,9.5,16.0,3.4,5.5,9.0,7.0,must_win_title,neutral,0,0,open,clear,good,REF02,21.0,7,7
BT_M05_2,2023-09-05,5,TeamC,TeamB,49,51,1.58,1.42,13.5,13.5,11.5,12.5,4.0,4.2,9.0,7.0,neutral,must_win_top4,0,0,open,clear,good,REF02,21.0,7,3
BT_M06_1,2023-09-12,6,TeamD,TeamA,40,60,1.32,1.48,11.0,14.0,14.5,11.5,5.0,4.0,9.0,7.0,neutral,must_win_title,0,0,open,clear,good,REF03,22.0,7,3
BT_M06_2,2023-09-12,6,TeamB,TeamC,57,43,1.72,1.28,16.0,11.5,10.0,13.0,3.6,4.6,9.0,7.0,must_win_top4,neutral,0,0,open,clear,good,REF03,22.0,7,7
BT_M07_1,2023-09-19,7,TeamA,TeamB,59,41,1.78,1.42,16.5,13.5,9.5,12.5,3.4,4.2,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF04,23.0,7,7
BT_M07_2,2023-09-19,7,TeamC,TeamD,53,47,1.58,1.02,13.5,9.5,11.5,16.0,4.0,5.5,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF04,23.0,7,7
BT_M08_1,2023-09-26,8,TeamB,TeamA,55,45,1.72,1.48,16.0,14.0,10.0,11.5,3.6,4.0,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF01,24.0,7,3
BT_M08_2,2023-09-26,8,TeamD,TeamC,42,58,1.32,1.28,11.0,11.5,14.5,13.0,5.0,4.6,9.0,7.0,dead_rubber,neutral,0,0,open,clear,good,REF01,24.0,7,7
BT_M09_1,2023-10-05,9,TeamA,TeamC,61,39,1.78,1.28,16.5,11.5,9.5,13.0,3.4,4.6,9.0,7.0,must_win_title,neutral,0,0,open,clear,good,REF02,25.0,7,7
BT_M09_2,2023-10-05,9,TeamB,TeamD,58,42,1.72,1.02,16.0,9.5,10.0,16.0,3.6,5.5,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF02,25.0,4,7
BT_M10_1,2023-10-12,10,TeamC,TeamA,47,53,1.58,1.48,13.5,14.0,11.5,11.5,4.0,4.0,9.0,7.0,neutral,must_win_title,0,0,open,clear,good,REF03,21.0,7,4
BT_M10_2,2023-10-12,10,TeamD,TeamB,43,57,1.32,1.42,11.0,13.5,14.5,12.5,5.0,4.2,9.0,7.0,neutral,neutral,0,0,open,clear,good,REF03,21.0,7,7
