player_id,player_name,team,role,season_avg_shots,season_avg_sot,season_avg_xg,l3_avg_shots,l3_avg_sot,l5_avg_shots,l5_avg_sot,l10_avg_shots,l10_avg_sot,home_avg_shots,home_avg_sot,away_avg_shots,away_avg_sot,shots_per_touch,touches_in_box_pg,npxg_per_shot,avg_minutes_played,big_chances_pg,penalty_kicks_pg,set_piece_shots_pg,open_play_shots_pg
P001,Erling Haaland,Man City,CF,5.80,2.60,0.82,6.80,3.20,6.20,2.90,5.80,2.60,6.50,3.00,5.10,2.20,0.42,5.80,0.18,85,0.90,0.05,0.40,5.40
P002,Marcus Rashford,Man United,WF_inside,3.40,1.40,0.38,4.20,1.80,3.80,1.60,3.40,1.40,3.80,1.60,3.00,1.20,0.28,3.40,0.11,82,0.45,0.02,0.30,3.10
P003,Mohamed Salah,Liverpool,WF_inside,4.80,2.10,0.62,5.20,2.40,4.90,2.20,4.80,2.10,5.10,2.30,4.50,1.90,0.35,4.80,0.14,86,0.75,0.04,0.35,4.45
P004,Son Heung-min,Tottenham,SS,3.90,1.70,0.48,4.50,2.00,4.10,1.80,3.90,1.70,4.20,1.90,3.60,1.50,0.32,4.10,0.13,84,0.60,0.03,0.28,3.62
P005,Bukayo Saka,Arsenal,WF_inside,3.50,1.50,0.42,3.80,1.70,3.60,1.55,3.50,1.50,3.90,1.70,3.10,1.30,0.29,3.60,0.12,85,0.55,0.02,0.32,3.18
P006,Kevin De Bruyne,Man City,CM_box,2.20,0.80,0.28,2.50,0.90,2.30,0.85,2.20,0.80,2.50,0.90,1.90,0.70,0.18,2.80,0.09,82,0.30,0.01,0.45,1.75
P007,Virgil van Dijk,Liverpool,CB_aerial,1.20,0.50,0.14,1.40,0.60,1.30,0.55,1.20,0.50,1.40,0.60,1.00,0.40,0.09,1.50,0.08,88,0.18,0.00,0.70,0.50
P008,Bruno Fernandes,Man United,AM,3.10,1.20,0.36,3.50,1.40,3.20,1.25,3.10,1.20,3.40,1.35,2.80,1.05,0.24,3.20,0.11,84,0.42,0.03,0.55,2.55
P009,Trent Alexander-Arnold,Liverpool,FB_attacking,1.80,0.70,0.18,2.00,0.80,1.90,0.75,1.80,0.70,2.00,0.80,1.60,0.60,0.14,2.00,0.08,85,0.25,0.01,0.55,1.25
P010,Gabriel Martinelli,Arsenal,WF_inside,3.20,1.30,0.38,3.60,1.50,3.35,1.40,3.20,1.30,3.50,1.45,2.90,1.15,0.26,3.30,0.11,82,0.48,0.02,0.28,2.92
P011,Dominic Calvert-Lewin,Everton,CF,3.60,1.60,0.44,3.80,1.75,3.70,1.65,3.60,1.60,3.90,1.75,3.30,1.45,0.30,3.80,0.13,80,0.62,0.03,0.45,3.15
P012,Declan Rice,Arsenal,CM_box,1.60,0.60,0.16,1.80,0.70,1.70,0.65,1.60,0.60,1.80,0.70,1.40,0.50,0.12,1.80,0.07,87,0.20,0.00,0.40,1.20
P013,Richarlison,Tottenham,CF,3.20,1.40,0.40,3.50,1.55,3.30,1.45,3.20,1.40,3.50,1.55,2.90,1.25,0.27,3.40,0.12,78,0.52,0.03,0.38,2.82
P014,James Tarkowski,Everton,CB_defensive,0.60,0.20,0.06,0.70,0.25,0.65,0.22,0.60,0.20,0.70,0.24,0.50,0.16,0.05,0.70,0.05,88,0.08,0.00,0.25,0.35
P015,Alisson,Liverpool,GK,0.10,0.05,0.01,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.01,0.10,0.01,90,0.00,0.00,0.00,0.10
